match_id,data,adversario,casa,placar_corinthians,placar_adversario,competicao,tecnico
1,2026-04-05,Internacional,home,0,1,Brasileirao,Dorival
2,2026-04-01,Fluminense,away,1,3,Brasileirao,Dorival
3,2026-03-22,Flamengo,home,1,1,Brasileirao,Dorival
4,2026-03-19,Chapecoense,away,0,0,Brasileirao,Dorival
5,2026-03-15,Santos,away,1,1,Brasileirao,Dorival
6,2026-03-11,Coritiba,home,0,2,Brasileirao,Dorival
7,2026-02-28,Novorizontino,away,0,1,Paulista,Dorival
8,2026-02-25,Cruzeiro,away,1,1,Brasileirao,Dorival
9,2026-02-22,Portuguesa,away,1,1,Paulista,Dorival
10,2026-02-19,Athletico Paranaense,away,1,0,Brasileirao,Dorival
11,2026-02-15,São Bernardo,away,1,0,Paulista,Dorival
12,2026-02-12,Red Bull Bragantino,home,2,0,Brasileirao,Dorival
13,2026-02-08,Palmeiras,home,0,1,Paulista,Dorival
14,2026-02-05,Capivariano,home,3,0,Paulista,Dorival
15,2026-02-01,Flamengo,away,2,0,Supercopa,Dorival
16,2026-01-28,Bahia,home,1,2,Brasileirao,Dorival
17,2026-01-25,AE Velo Clube,away,1,0,Paulista,Dorival
18,2026-01-22,Santos,away,1,1,Paulista,Dorival
19,2026-01-18,São Paulo,home,1,1,Paulista,Dorival
20,2026-01-15,Red Bull Bragantino,away,0,3,Paulista,Dorival
21,2026-01-11,Ponte Preta,home,3,0,Paulista,Dorival
