jogador,posicao,jogos,gols,assistencias,finalizacoes,chutes_no_gol,faltas_cometidas,faltas_sofridas,cartao_amarelo,cartao_vermelho
Mateuzinho,D,19,0,0,3,0,9,7,2,0
Gabriel Paulista,D,14,2,0,10,1,7,5,1,0
João Pedro,D,5,1,0,2,1,3,1,1,0
André Ramalho,D,12,1,0,0,0,4,5,3,0
Gustavo Henrique,D,15,1,1,7,2,9,8,2,0
Pedro Milans,D,5,0,0,1,0,3,2,0,0
Matheus Bidu,D,17,1,2,5,2,10,21,3,0
Fabrizio Angileri,D,5,0,0,0,0,2,4,2,0
Ryan,D,8,0,1,3,0,5,6,1,0
Hugo Farias,D,3,0,0,0,0,0,0,0,0
Iago Machado,D,0,0,0,0,0,0,0,0,0
Breno Bidon,M,17,2,0,3,1,8,20,1,0
Rodrigo Garro,M,18,1,3,14,8,4,22,1,0
Raniele,M,16,0,0,5,0,13,10,3,0
André Carrillo,M,13,0,0,3,0,15,2,2,0
Allan,M,10,0,0,2,1,5,7,2,1
Charles,M,11,0,0,0,0,5,1,0,0
André Luiz,M,18,3,0,11,2,10,15,1,0
Bahia,M,1,0,0,0,0,0,0,0,0
Dieguinho,M,11,1,1,2,0,1,2,0,0
Jesse Lingard,M,2,0,0,2,1,4,0,1,0
Kaio César,A,3,0,1,1,1,1,3,1,0
Yuri Alberto,A,13,4,1,10,5,7,6,1,0
Memphis Depay,A,12,1,1,6,2,5,5,1,0
Vitinho,A,17,1,1,8,2,5,5,0,0
Pedro Raúl,A,13,0,1,3,0,4,2,0,0
Kayke,A,9,1,0,1,0,0,2,0,0
Zakaria Labyad,A,3,0,0,2,0,0,0,0,0
Gui Negão,A,12,1,0,1,0,3,1,0,0
